rsi_handle,display,rank,roles,discord_nickname,discord_match_typ,discord_match_prozent
kisural,kisural,Diamant,,,,
Klabauter,F4BELH4FT,Diamant,,,,
Klars_Flight,Klars_Flight,Diamant,,,,
Klobrille,Klobrille,Diamant,,,,
Kluntjes,Kluntjes,Diamant,,,,
Kommende_B5000,Kommende_B5000,Diamant,,,,
Komonfugu,Komonfugu,Diamant,,,,
KongOtto,KongoOtto,Diamant,,,,
Kontroller,Kontroller,Diamant,,,,
Kpt_Ceberus,Ceberus,Diamant,,,,
Krautfunder,Krautfunder,Diamant,,,,
Ksteffan,SteffanK,Diamant,,,,
kulturnilpferd,kulturnilpferd,Diamant,,,,
Kxthi741,Kxthi741,Diamant,,,,
Kyrre_Tukson,Kyrre Tukson,Diamant,,,,
L3Xinho,L3Xinho,Diamant,,,,
Laath,Laath,Diamant,,,,
Laberneth,Laberneth,Diamant,,,,
Larry_P,Larry_P,Diamant,,,,
lasseb,Mietzapi,Diamant,,,,
LaughingCorpse,LaughingCorpse,Diamant,,,,
Layer,Layer,Diamant,,,,
LcDruid,LcDruid,Diamant,,,,
Lennox_Hawkins,Lennox_Hawkins,Diamant,,,,
Leonil,Ludas,Diamant,,,,
LeopardDF,LeopardDF,Diamant,,,,
leTreuTobi,leTreuTobi,Diamant,,,,
Lichtfleck,lars,Diamant,,,,
LiEyWe,LiEyWe,Diamant,,,,
LIFT_Antenne,LIFT_Antenne,Diamant,,,,
LIFT_Der_Unfassbare3,Der_Unfassbare3,Diamant,,,,
LIGHT_Gamer33,LIGHT_Gamer33,Diamant,,,,
Lionel_Polanski,Autumn,Diamant,,,,
Livercheese_42,Livercheese_42,Diamant,,,,
lnc02,lnc02,Diamant,,,,
LoinEljonson,Lioneljonson,Diamant,,,,
lonely1,lonely1,Diamant,,,,
LonesomeMiner,Lonesome Miner,Diamant,,,,
Lord-Cerberus,Lord Cerberus,Diamant,,,,
Lord_Popo,Popo,Diamant,,,,
Lord_Wayne,Lord_Wayne,Diamant,,,,
LordLeibnitz,[DMNT] Lord Leibnitz,Diamant,,,,
LordYukia,LordYukia,Diamant,,,,
Lotka,Lotka,Diamant,,,,
Louqe_Ghost,Louqe_Ghost,Diamant,,,,
Lowr1der,Lowr1der,Diamant,,,,
Lucille,Lucille,Diamant,,,,
LucyZocker,LucyZocker,Diamant,,,,
Lufia,Lufia,Diamant,,,,
LumenSage,LumenSage,Diamant,,,,
LumpiCargo,LumpiCargo,Diamant,,,,
M_M,Marcus,Diamant,,,,
MacDeal,MacDeal,Diamant,,,,
MaceMaddox,Mace Maddox,Diamant,,,,
MADxAdam,MADxAdam,Diamant,,,,
Magellan-83,Magellan,Diamant,,,,
Maik_Anik,Maik Anik,Diamant,,,,
Majalex,Majalex,Diamant,,,,
Malron,Malron,Diamant,,,,
mampfer,mampfer,Diamant,,,,
Man0Lar,Man0Lar,Diamant,,,,
Man_Must_Die,Heilige_Mutter_Gottes,Diamant,,,,
ManAniscore,ManAniscore,Diamant,,,,
Manperson,Manperson,Diamant,,,,
Manuedeberry,Manuedeberry,Diamant,,,,
Marc_O_Polo,Marc_O_Polo,Diamant,,,,
Marcel1981,Marcel1981,Diamant,,,,
Marcnesium,Marcnesium,Diamant,,,,
Marvgod,Marvgod,Diamant,,,,
Maserati-Heinz,Maserati-Heinz,Diamant,,,,
masterluke78,masterluke78,Diamant,,,,
Materialistix,Materialistix,Diamant,,,,
Matsonwe,Matsonwe,Diamant,,,,
MaximStierlitz,Maxim Stierlitz,Diamant,,,,
Mazukaze,Mazukaze,Diamant,,,,
mc3scher,mc3scher,Diamant,,,,
MCCD326,MCCD326,Diamant,,,,
McD57765,McD57765,Diamant,,,,
mcfirefly,mcfirefly,Diamant,,,,
McKlappStuhl,McKlappStuhl,Diamant,,,,
McMc,McFly,Diamant,,,,
McMetrik,McMetrik,Diamant,,,,
Mendo79,Mendo79,Diamant,,,,
