rsi_handle;display;rank;roles;discord_nickname_manual;discord_nickname_suggested;match_prozent;zertifiziert
Kommende_B5000;Kommende_B5000;Diamant;;;Kommender_B5000;97%;
Komonfugu;Komonfugu;Diamant;;;;;
Kontroller;Kontroller;Diamant;;;;;
Kpt_Ceberus;Ceberus;Diamant;;;Cerberus;93%;
Krautfunder;Krautfunder;Diamant;;;;;
kulturnilpferd;kulturnilpferd;Diamant;;;;;
Kxthi741;Kxthi741;Diamant;;;;;
Kyrre_Tukson;Kyrre Tukson;Diamant;;;;;
L3Xinho;L3Xinho;Diamant;;;;;
Larry_P;Larry_P;Diamant;;;Larry_P;100%;
LaughingCorpse;LaughingCorpse;Diamant;;;LaughingCorpse;100%;
Layer;Layer;Diamant;;;;;
LcDruid;LcDruid;Diamant;;;;;
Lennox_Hawkins;Lennox_Hawkins;Diamant;;;Lennox_Hawkins;100%;
Leonil;Ludas;Diamant;;;;;
LeopardDF;LeopardDF;Diamant;;;;;
leTreuTobi;leTreuTobi;Diamant;;;letreutobi;100%;
Lichtfleck;lars;Diamant;;;;;
LIFT_Antenne;LIFT_Antenne;Diamant;;;Antenne;74%;
LIFT_Der_Unfassbare3;Der_Unfassbare3;Diamant;;;;;
LIGHT_Gamer33;LIGHT_Gamer33;Diamant;;;;;
Lionel_Polanski;Autumn;Diamant;;;;;
Livercheese_42;Livercheese_42;Diamant;;;livercheese_;92%;
lnc02;lnc02;Diamant;;;;;
LoinEljonson;Lioneljonson;Diamant;;;LoinEljonson;100%;
lonely1;lonely1;Diamant;;;;;
LonesomeMiner;Lonesome Miner;Diamant;;;;;
Lord-Cerberus;Lord Cerberus;Diamant;;;lord.cerberus;92%;
Lord_Popo;Popo;Diamant;;;;;
Lord_Wayne;Lord_Wayne;Diamant;;;Lord_Wayne;100%;
LordYukia;LordYukia;Diamant;;;;;
Lotka;Lotka;Diamant;;;;;
Louqe_Ghost;Louqe_Ghost;Diamant;;;Louqe_Ghost;100%;
Lowr1der;Lowr1der;Diamant;;;;;
Lucille;Lucille;Diamant;;;;;
LucyZocker;LucyZocker;Diamant;;;;;
Lufia;Lufia;Diamant;;;;;
LumenSage;LumenSage;Diamant;;;LumenSage;100%;
LumpiCargo;LumpiCargo;Diamant;;;;;
MacDeal;MacDeal;Diamant;;;Marcel;77%;
MaceMaddox;Mace Maddox;Diamant;;;;;
MADxAdam;MADxAdam;Diamant;;;;;
Magellan-83;Magellan;Diamant;;;Magellan;100%;
Maik_Anik;Maik Anik;Diamant;;;;;
Majalex;Majalex;Diamant;;;MS_Alex;71%;
Malron;Malron;Diamant;;;Malron;100%;
ManAniscore;ManAniscore;Diamant;;;;;
Manperson;Manperson;Diamant;;;Manperson;100%;
